pn,sheet,cluster,man,model,name,cat,qty,unit,verdict,stock_grade,in_stock,stock_qty,lead_time,covers_qty,seller,seller_country,seller_url,seller_kind,price,currency,pack_qty,price_usd,unit_price,line_value_full_volume,in_firm_total,our_usd_lo,our_usd_hi,our_conf,price_gap,real_maker,real_pn,substitute,checked_by,note,rv_verdict,rv_price_usd,rv_maker,rv_channel,rv_blocker,rv_next_step,addressee_1,addressee_2,addressee_3,addressee_4
BTL7-E500-M0530-B-DEXB-K10,НВН,НВН · BALUFF · датчики и КИП,BALUFF,,Датчик положения 7К-9036367,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Balluff GmbH,BTL7-E500-M0530-B-DEXB-K10,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Живой карточки нет — поиском не подтверждено. По первоисточнику: 7К-9036367 — складской номер бурового OEM, реальное изделие — Balluff Micropulse BTL7, стержневой магнитострикционный датчик положения, ход 530 мм, взрывозащищённое исполнение DEXB, разъём K10. Заказывать у Balluff и его дистрибьюторов по коду BTL7-…, а не по 7К-9036367 — это и есть ценовой рычаг. Ex-конфигурации BTL7 делаются под заказ, ориентир по циклу 4–8 недель плюс логистика.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
BTL7-E500-M1200-B-DEXB-K10,НВН,НВН · BALUFF · датчики и КИП,BALUFF,,Датчик положения 7К-9036368,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Balluff GmbH,BTL7-E500-M1200-B-DEXB-K10,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено. По первоисточнику: 7К-9036368 — складской номер бурового OEM, реальное изделие — Balluff Micropulse BTL7, стержневой магнитострикционный датчик положения, ход 1200 мм, Ex-исполнение DEXB, разъём K10. Заказывать у Balluff по коду BTL7-…, не по 7К-9036368. Позиции 7К-9036367 (530 мм), 7К-9036368 (1200 мм) и 7К-9036369 (410 мм) — один тип с разным ходом, запрашивать их одним пакетом у Balluff: так дешевле и короче срок.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
DBET 26/2,НВН,НВН · Industrie technik · датчики и КИП,Industrie technik,,Термостат Industrie technik DBET 26/2,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Industrie Technik S.r.l. — входит в группу Regin (Швеция),,"DBTZ-x (канальный), DBTV-x (погружной), DBAT-x (накладной) — текущие серии термостатов Industrie Technik/Regin",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Полезное по первоисточнику: industrietechnik.it теперь работает как сайт группы Regin (ITK), и в актуальном каталоге термостатов есть только серии DBTZ (канальные: DBTZ-2/-7/-8/-12), DBTV (погружные: DBTV-1/-2/-7/-8/-17) и DBAT (накладные: DBAT-3/-5). Серии DBET там нет — позиция снята с производства, закрывается подбором из DBTZ/DBTV. Уточнить у заказчика: монтаж (канал/погружение/накладной), диапазон уставки, длину штока или капилляра, тип контакта. Цена/наличие не подтверждены.",,,,,,,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
DBET-26/2,НВН,НВН · Industrie technik · датчики и КИП,Industrie technik,,Термостат Drillmec DBET-26/2,датчики и КИП,2,ШТ,pn_found_no_stock,нет,unknown,,у дистрибьютора Hydronix (CZ/SK) цена и срок — 'na dotaz' (по запросу),unknown,"Industrie Technik (ITK, Regin Group) — каталог изготовителя",IT,https://www.industrietechnik.it/en/it/products/switches/temperature/wall-mounted/wall-thermostat_-ip65-p11890/dbet-262/,component_maker,,USD,1,,,,нет,,,,,"Industrie Technik S.r.l. (ITK, Regin Group)",DBET-26/2,,сплошная проверка остатка 09.2026,"ПЕРВОИСТОЧНИК: под шильдой Drillmec стоит серийный HVAC-термостат ITK/Regin. Паспорт изготовителя: настенный термостат IP65, датчик — жидкостный медный капилляр, контакт SPDT (микропереключатель) 15 (8) А, 24-250 В AC, диапазон 0...60 °C, 2-ступенчатый, гистерезис 1 K, дифференциал ступени 2...5 K, автоматический возврат, 70x88x108 мм. Живой склад/цену подтвердить не удалось: Hydronix (CZ) — по запросу; IBC (IE) держит вариант DBET-26/2U. Заказывать через канал Regin/ITK, не через Drillmec.",,,,,,,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | по этой детали,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
E-10-A-BBL-NB-ZGDXBA-12,НВН,НВН · WIKA · датчики и КИП,WIKA,,Датчик давления 700000332,датчики и КИП,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,WIKA Alexander Wiegand SE,E-10-A-BBL-NB-ZGDXBA-12,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Первоисточник установлен, и это главная ценность строки: внутренний номер Cameron/Drillmec 700000332 = преобразователь давления WIKA E-10, то есть закупать надо по коду WIKA, а не по номеру OEM. Продавец не подтверждён: WebSearch исчерпан, wika.com отдал 403. E-10 — конфигурируемый прибор, собирается под заказ, поэтому срок производственный (недели), а не «со склада». Просить WIKA расшифровать опции BBL-NB-ZGDXBA-12 и подтвердить диапазон.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
EL204-1,НВН,"НВН · АО ""Лаборатория Электроники"" · датчики и КИП","АО ""Лаборатория Электроники""",,Преобразователь USB-RS232-RS485 EL204-1,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,,,Moxa UPort 1150 / Advantech BB-USOPTL4 / ICP DAS I-7561 (USB↔RS-232/RS-485),сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено: карточки EL204-1 у продавцов нет, сайт изготовителя не открылся. Изделие типовое — преобразователь интерфейса USB↔RS-232/RS-485. Если системе нужен только интерфейс, закрывается серийными изделиями (Moxa UPort 1150, Advantech BB-USOPTL4, ICP DAS I-7561). Уточнить у заказчика: гальваноразвязка, питание, монтаж на DIN-рейку, требования Ex и обязательность именно российского изделия (иначе меняются драйверы и ПО верхнего уровня).",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
"LNKY 0275 N 0,1 A BW 2786",НВН,НВН · ROTA · датчики и КИП,ROTA,,"Датчик ROTA LNKY 0275 N 0,1 A BW 2786",датчики и КИП,1,ШТ,oem_only,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,"Rota Engineering Ltd (Болтон, Великобритания)",LNKY 0275 N 0.1 A B W 2786,,сплошная проверка остатка 09.2026,"ЭТО ДУБЛЬ строки ""LNKY 0275 N 0.1 A B W 2786"" (Drillmec 47511824) из этого же файла — тот же датчик, различие только в написании (запятая вместо точки и слитное BW). Перед отправкой запроса позиции надо объединить, иначе закупим две штуки вместо одной. Изготовитель — Rota Engineering Ltd (UK), не Drillmec; осторожно с доменом rotaeng.com — это другая, итальянская фирма. Наличия и цены поиском не подтвердил.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
LNKY 0275 N 0.1 A B W 2786,НВН,НВН · ROTA ENGINEERING · датчики и КИП,ROTA ENGINEERING,,Датчик лин. положения Drillmec 47511824,датчики и КИП,1,ШТ,oem_only,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,"Rota Engineering Ltd (Болтон, Великобритания)",LNKY 0275 N 0.1 A B W 2786,,сплошная проверка остатка 09.2026,"Правило первоисточника отработало ещё во входных данных: под номером Drillmec 47511824 стоит датчик линейного положения Rota Engineering (LNKY — магнитострикционная линейка, 0275 ≈ ход 275 мм). Покупать надо у Rota, не у Drillmec. ВНИМАНИЕ: домен rotaeng.com — другая, итальянская компания (энергетическое оборудование); нужный производитель — Rota Engineering Ltd (UK), их сайт из сессии недоступен. Наличия/цены не подтвердил. Дубль строки 21 того же листа — это одна и та же позиция, объединить.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
ML3G0-R05-005010B-1AAB,НВН,НВН · AUTEK · датчики и КИП,AUTEK,,Датчик температуры 9036433 TD-500-AC-2M,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,AUTEK,ML3G0-R05-005010B-1AAB,"серийный ТС Pt100 в гильзе (WIKA TR10, Endress+Hauser TR10) — при совпадении длины гильзы, присоединения и Ex-маркировки",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено: сайт Autek недоступен, карточек у дистрибьюторов нет. По первоисточнику: 9036433 — складской номер Cameron/SLB для TD-500-AC-2M, ML3G0-R05-005010B-1AAB — номер изготовителя датчика, то есть запрашивать надо у Autek, а не у Cameron. Если по чертежу это обычный ТС Pt100 в гильзе, позиция закрывается серийным датчиком вдвое-втрое дешевле. Запросить у заказчика чертёж: длина гильзы, присоединение, диапазон, Ex-маркировка.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
NJ40-FP-SN-P1,НВН,НВН · PEPPERL+FUCHS · датчики и КИП,PEPPERL+FUCHS,,Датчик 9036382 Cameron TD-500-AC-2M,датчики и КИП,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Pepperl+Fuchs,NJ40-FP-SN-P1,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Первоисточник: номер Cameron 9036382 = индуктивный датчик Pepperl+Fuchs NJ40-FP-SN-P1. Расшифровка: NJ40 — зона срабатывания 40 мм, FP — прямоугольный корпус, SN — NAMUR/искробезопасный, P1 — разъём M12. Продавец не подтверждён: WebSearch исчерпан, pepperl-fuchs.com отдал 403 и на поиск, и на карточку. Позиция каталожная, у дистрибьюторов P+F обычно есть со склада — запрашивать напрямую у P+F.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
NJ5-18GK-SN-10M,НВН,НВН · PEPPERL+FUCHS · датчики и КИП,PEPPERL+FUCHS,,Датчик 9036257 Cameron TD-500-AC-2M,датчики и КИП,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Pepperl+Fuchs,"NJ5-18GK-SN, исполнение с кабелем 10 м",,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Первоисточник: номер Cameron 9036257 на TD-500-AC-2M = индуктивный датчик Pepperl+Fuchs NJ5-18GK-SN с кабелем 10 м. Покупать по номеру P+F, а не по номеру Cameron. Продавец не подтверждён: WebSearch исчерпан, pepperl-fuchs.com отдал 403, PDF-карточка 404. Расшифровка: NJ5 — зона срабатывания 5 мм, 18GK — гладкий корпус M18, SN — NAMUR/искробезопасный выход. Сверить длину кабеля: исполнения по длине у P+F — отдельные артикулы.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
P499ACH-405C,НВН,НВН · Johnson Controls · датчики и КИП,Johnson Controls,,Датчик Johnson Controls P499ACH-405C,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,,,"Johnson Controls P499ACP-105K (0…500 psig ≈ 0…34 бар, выход 4–20 мА, 1/8-27 NPT)",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Точную карточку P499ACH-405C не нашёл — поиском не подтверждено. Расшифровка по каталогу дистрибьютора: у JCI P499 индексы -1xx = диапазон в psi, -4xx = в бар (P499ACS-401 = «-1…8 бар, 4–20 мА, 1/4"" flare»); A = выход 4–20 мА, P/S/H = тип присоединения. Ближайшее живое: P499ACP-105K — Raptor Supplies, 28 шт, $211.92, отгрузка 2 дня (https://www.raptorsupplies.com/pd/johnson-controls/p499acp-105k). Уточнить диапазон и присоединение (H или P) — тогда позиция закрывается серийным аналогом за ~$210.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
