Класс;Позиций;С КП;Продавали;Машины;CN $;OEM-Китай $;WMS $;Ранг;Поставщик;Страна;Email;Телефон;WhatsApp/WeChat;КП по классу;Статус CRM;Направление CRM;Капитал / канал;Приоритет теста
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;исключён;WMS / Atmaca;;;;;15;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;1;Shandong KAT Drilling;Китай, Шаньдун, Ляочэн;;+86 635 8585985;WA/WeChat 86 13969583325;4;К/П;Shank adapters COP 1036-2238;иностр. капитал в базе не отмечен;1 — разрыв цен с WMS более чем шестикратный, есть готовые котировки для сравнения
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;2;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;6;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;1 — разрыв цен с WMS более чем шестикратный, есть готовые котировки для сравнения
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;3;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;2;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;1 — разрыв цен с WMS более чем шестикратный, есть готовые котировки для сравнения
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;4;Jiangxi Woserld / Siton;Китай (Woserld Цзянси / Siton);sales@woserld.com;+86 13387997914;WA/WeChat 86 13387997914;;Ответил — взял в работу;Внутренности COP: piston/guide/bushing/driver;иностр. капитал в базе не отмечен;1 — разрыв цен с WMS более чем шестикратный, есть готовые котировки для сравнения
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;5;Fujian Juntai Construction Machinery Co., Ltd. — juntaimachinery.com;Китай;juntai@wan-tai.com.cn;+86 182 5953 5636;;;;;иностр. капитал в базе не отмечен;1 — разрыв цен с WMS более чем шестикратный, есть готовые котировки для сравнения
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;6;FMRIBT (Fujian/Foshan Mineral Rock Industrial Boring Tools) — mineralr;China;exportsales@fmribt.com;+86 18965558758;+86 18965558758 (WhatsApp);;;;иностр. капитал в базе не отмечен;1 — разрыв цен с WMS более чем шестикратный, есть готовые котировки для сравнения
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;7;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;исключён;Zuanshan Mining Machinery Co., Ltd / Shandong Rock Drilling Tools Co.,;;;;;7;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Поршень-боёк, направляющие поршня;15;15;5;COP RR14, COP 1028, COP 4050, COP 2238, COP 3060;70.7;15.0;452.7;исключён;WMS / Atmaca;;;;;12;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;1;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;1;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;1 — позиция продавалась, независимые КП ниже WMS
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;2;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;2;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;1 — позиция продавалась, независимые КП ниже WMS
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;3;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;2;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;1 — позиция продавалась, независимые КП ниже WMS
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;4;Jiangxi Woserld / Siton;Китай (Woserld Цзянси / Siton);sales@woserld.com;+86 13387997914;WA/WeChat 86 13387997914;;Ответил — взял в работу;Внутренности COP: piston/guide/bushing/driver;иностр. капитал в базе не отмечен;1 — позиция продавалась, независимые КП ниже WMS
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;5;Fujian Juntai Construction Machinery Co., Ltd. — juntaimachinery.com;Китай;juntai@wan-tai.com.cn;+86 182 5953 5636;;;;;иностр. капитал в базе не отмечен;1 — позиция продавалась, независимые КП ниже WMS
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;1;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Драйвер вращения (rotation chuck driver);3;3;1;COP 4050, COP 2238, COP 1028;278.0;41.3;330.6;исключён;WMS / Atmaca;;;;;2;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;1;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;3;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;2 — котировки есть, продаж нет
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;2;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;3;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;2 — котировки есть, продаж нет
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;3;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;1;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;2 — котировки есть, продаж нет
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;4;"Nanjing Hovoo Machinery Technology Co., Ltd. (Hovoo; hovooseal.com)";Китай, Цзянсу, Нанкин;sales@hovooseal.com;+86 18012806665;;;К/П;COP seal kits 2238/3060/4050;иностр. капитал в базе не отмечен;2 — котировки есть, продаж нет
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;5;Qingdao Hendac Prime;Китай, Шаньдун, Циндао;lucy@allianceseals.com;86 13356873676;;;Ответил — взял в работу;РТИ (авто): oil/PU seals;иностр. капитал в базе не отмечен;2 — котировки есть, продаж нет
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;6;Guangdong DEF Seals;Китай, Гуандун, Дунгуань;defseals@defseals.com;+86 769 83260341;;;Ответил — взял в работу;РТИ / hydraulic seals;иностр. капитал в базе не отмечен;2 — котировки есть, продаж нет
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;3;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Диафрагма аккумулятора;3;3;0;;18.0;2.1;26.4;исключён;WMS / Atmaca;;;;;3;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;1;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;6;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;1 — расходные комплекты, КП есть, разрыв цен в 4–5 раз
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;2;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;3;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;1 — расходные комплекты, КП есть, разрыв цен в 4–5 раз
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;3;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;1;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;1 — расходные комплекты, КП есть, разрыв цен в 4–5 раз
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;4;"Nanjing Hovoo Machinery Technology Co., Ltd. (Hovoo; hovooseal.com)";Китай, Цзянсу, Нанкин;sales@hovooseal.com;+86 18012806665;;;К/П;COP seal kits 2238/3060/4050;иностр. капитал в базе не отмечен;1 — расходные комплекты, КП есть, разрыв цен в 4–5 раз
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;5;Qingdao Hendac Prime;Китай, Шаньдун, Циндао;lucy@allianceseals.com;86 13356873676;;;Ответил — взял в работу;РТИ (авто): oil/PU seals;иностр. капитал в базе не отмечен;1 — расходные комплекты, КП есть, разрыв цен в 4–5 раз
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;6;Guangdong DEF Seals;Китай, Гуандун, Дунгуань;defseals@defseals.com;+86 769 83260341;;;Ответил — взял в работу;РТИ / hydraulic seals;иностр. капитал в базе не отмечен;1 — расходные комплекты, КП есть, разрыв цен в 4–5 раз
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;6;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Комплекты уплотнений и ремкомплекты;58;12;4;COP 3060, COP MD 20, COP 1028, COP RR14;33.0;12.3;152.1;исключён;WMS / Atmaca;;;;;12;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;1;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;5;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;2 — экономии по цене нет, решает ресурс
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;2;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;5;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;2 — экономии по цене нет, решает ресурс
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;3;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;3;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;2 — экономии по цене нет, решает ресурс
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;4;"Nanjing Hovoo Machinery Technology Co., Ltd. (Hovoo; hovooseal.com)";Китай, Цзянсу, Нанкин;sales@hovooseal.com;+86 18012806665;;;К/П;COP seal kits 2238/3060/4050;иностр. капитал в базе не отмечен;2 — экономии по цене нет, решает ресурс
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;5;Qingdao Hendac Prime;Китай, Шаньдун, Циндао;lucy@allianceseals.com;86 13356873676;;;Ответил — взял в работу;РТИ (авто): oil/PU seals;иностр. капитал в базе не отмечен;2 — экономии по цене нет, решает ресурс
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;6;Guangdong DEF Seals;Китай, Гуандун, Дунгуань;defseals@defseals.com;+86 769 83260341;;;Ответил — взял в работу;РТИ / hydraulic seals;иностр. капитал в базе не отмечен;2 — экономии по цене нет, решает ресурс
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;6;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Уплотнения, манжеты, кольца, пыльники (поштучно);16;11;0;COP 4050, COP 2238, COP 3060, COP MD 20, COP RR14;3.0;0.3;3.5;исключён;WMS / Atmaca;;;;;11;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;1;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;1;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;3 — дешёвые позиции, малый объём экономии
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;2;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;1;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;3 — дешёвые позиции, малый объём экономии
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;3;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;1;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;3 — дешёвые позиции, малый объём экономии
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;4;Ningbo Chaori Hydraulic;Китай, Чжэцзян, Нинбо (Фэнхуа);Export@nbchaori.cn;+86 574 88850227;;;К/П;GAP-клапан (charging valve);иностр. капитал в базе не отмечен;3 — дешёвые позиции, малый объём экономии
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;5;Difon Machinery;Китай;info@difon.cn;+86 15153262776;;;Ответил — взял в работу;GAP-клапан (custom machining);иностр. капитал в базе не отмечен;3 — дешёвые позиции, малый объём экономии
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;6;FMRIBT (Fujian/Foshan Mineral Rock Industrial Boring Tools) — mineralr;China;exportsales@fmribt.com;+86 18965558758;+86 18965558758 (WhatsApp);;;;иностр. капитал в базе не отмечен;3 — дешёвые позиции, малый объём экономии
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;1;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;исключён;Chengdu Pudding Mechatronic Co. (CPMC, via aircompressorstrade China d;;;;;;;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Клапаны, ниппели, зарядные клапаны;6;1;1;;8.0;0.8;13.6;исключён;WMS / Atmaca;;;;;1;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;1;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;2;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;2 — разрыв цены втрое, продаж нет
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;2;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;1;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;2 — разрыв цены втрое, продаж нет
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;3;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;1;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;2 — разрыв цены втрое, продаж нет
