Компания;Страна;Город;Тип;Релевантность SGT-400;Сайт;Email;Телефон;Контакт;Дов.;Подтверждение
Franke Industrie AG (Franke Group);Швейцария;Aarburg;завод (листовая штамповка/сварка жаропрочных сплавов для камер сгорания);"Один из ключевых европейских контрактных производителей деталей КАМЕРЫ СГОРАНИЯ промышленных ГТУ: делает горячую часть, рассчитанную на 1200 °C, из высоколегированных сплавов, плюс листовые уплотнения по тракту горячего газа. Собственные процессы: сварка, формовка (в т.ч. гидроформинг), лазерная обработка, гидроабразивная резка, мехобработка, NDT; через сеть партнёров — вакуумная пайка, термообработка, ЭХО (ECM), электронно-лучевая сварка, TBC и износостойкие покрытия. Ведёт изделие от прототипа до серии и aftermarket — то есть способен взять чертёж MW21215M / MW22316B и поставить на производство.";https://www.frankeindustries.com;industrie-info.ch@franke.com;+41 62 787 31 31;;high;Страница frankeindustries.com/global/en/business-areas/gas-turbines.html: «decades of experience over generations in manufacturing of hot gas path parts (made to resist temperatures up to 1200 degrees Celsius) for Industrial Gas Turbines… Our strength lays in the manufacturing of highly demanding components typically used in the combustion chamber of gas turbines. In addition, we process sheet metal to seals used along the hot gas path… vacuum brazing, heat treatment, ECM, electron beam welding, thermal barrier coating (TBC), various hard face coating, hydro-forming». Импринт: Franke Industrie AG, Franke-Strasse 2, CH-4663 Aarburg, T +41 (0)62 787 31 31, industrie-info.ch@franke.com, CHE-108.336.846. Конкретные модели Siemens не публикуются (NDA с OEM) — подтверждать запросом.
GLF Turbine S.r.l.;Италия;Porto Recanati (MC);завод (производитель горячей части ГТУ);Профильный производитель горячей части: камеры сгорания и жаровые трубы (C&L), transition pieces (TP), сопловые аппараты (nozzles). Бывший цех Nuovo Pignone (Porto Recanati), затем производственная площадка GE Oil & Gas по C&L и TP. Освоены компоненты DLN-технологии (Frame 5/6/7/9 DLN) и F-технологии. Прямо заявляет производство компонентов для GT10B (= SGT-600) и «various Siemens turbines» — это ровно та линейка Alstom/Siemens, к которой относится SGT-400. Реальный кандидат на изготовление камеры сгорания MW21215M по чертежу/образцу.;http://www.glfturbine.com;info@glfturbine.com;+39 071 97491 (факс +39 071 9749205);;high;Сайт glfturbine.com/en: «GLF Turbine is a manufacturer Company for hot parts gas turbine such as combustion chambers (C&L), transition pieces (TP) and nozzles… introduced latest generation components such as: DLN-Technology (Frame 5 DLN, Frame 6 DLN, Frame 7 DLN, Frame 9 DLN), F-Technology… as well as components for other turbines (Westinghouse 501F, GT10B, various Siemens turbines). More than 30,000 C&L and over 30,000 TP have been produced so far at this site». Адрес и контакты в подвале сайта: Via Scossicci, 51, 62017 Porto Recanati (MC), P.IVA 01964960437.
GLM Energy Systems, LLC;США;Kenai, Alaska;независимый сервис MRO + обмен агрегатами/ЗИП по Ruston;Полный капремонт и обмен по линейке Ruston, предшественнику SGT-100/200: TB5000, TA1750, Tornado — «full gas generator and PT rebuilds», re-blading (переоблопачивание), nozzle repair (ремонт сопловых аппаратов), изготовление и закупка компонентов, equipment exchange. В наличии/в работе роторы и газогенераторы Tornado, статорные сборки TB5 CT1 и CT2. Ценен как источник обменных ядер и восстановленной горячей части по родственным моделям.;https://www.glmenergyllc.com;contacts@glmenergyllc.com;"+1 907-283-7556; бесплатный +1 866-247-1061";;high;"Страница glmenergyllc.com/glm-turbine-ruston.php: перечислены модели TB5000, TA1750, Tornado, «TB5 CT1 and CT2 Stator Assemblies»; услуги — full gas generator and PT rebuilds, re-blading, journal restoration, nozzle repair, equipment exchange, component manufacturing and procurement. Адрес на сайте: 420 N. Willow St., Kenai, Alaska 99611."
GT S.r.l. (Gabriele Tuzi);Италия;Curtatone (Mantova);независимый производитель ЗИП / MRO;"Заявленная номенклатура прямо покрывает горячую часть: combustion liners, transition pieces, combustion chambers, seal rings, FLAME TUBES (жаровые трубы), casings; плюс лопатки и сопловые аппараты горячей секции (hot section blade/vane) — литьё по выплавляемым моделям + прецизионная мехобработка + покрытия. Также компрессорные лопатки, роторы, подшипники. Работает и как изготовитель новых деталей, и как ремонтник. Подходит для реверс-инжиниринга горелки/жаровой трубы SGT-400 по образцу.";https://www.gabrieletuzi.com;"request@gabrieletuzi.com; engineering@gabrieletuzi.com";+39 339 831 9822;не найдено (вероятно Gabriele Tuzi — по названию компании);med;"Сайт gabrieletuzi.com: номенклатура — «hot section blade/vane, finished by investment casting, precision machining, coating, surface treatment», combustion components: «liners, transition pieces, chambers, seal rings, flame tubes, casings», турбинные корпуса и роторы; сектора — aviation, power generation, oil & gas; новые детали и ремонт. Реквизиты: Strada Capiluppia 3, 46010 Curtatone (MN), CCIAA MN270776, VAT IT02098920669. Конкретные модели ГТУ (Siemens SGT / Ruston) на сайте НЕ указаны — отсюда confidence=med."
Godrej Enterprises Group — подразделение Godrej Aerospace (Godrej & Boyce Mfg. Co. Ltd.);Индия;"Mumbai (Pirojshanagar, Vikhroli West), Maharashtra; новый завод — Khalapur";завод (Tier-1 аэрокосмический производитель), мехобработка + вакуумная пайка + литьё/ковка;Единственная частная компания Индии, подтверждённо изготавливающая ВСЕ модули газотурбинного двигателя, включая КАМЕРУ СГОРАНИЯ (combustor) и турбину. В 2026 г. установили высокотемпературную печь ВАКУУМНОЙ ПАЙКИ под изготовление рабочих лопаток турбины — именно та технология, что нужна для ремонта/изготовления жаровых труб, transition pieces и горелочных узлов. Отдельно в каталоге числятся выхлопные корпуса газовых турбин. Tier-1 поставщик GE Aerospace, Rolls-Royce, Safran, Honeywell, Boeing. Кандидат на контрактное производство узлов камеры сгорания SGT-400, но опыта именно по промышленным Siemens SGT не подтверждено.;https://www.godrejenterprises.com/aerospace;web.aerospace@godrej.com;+91 22 6796 2856;;med;"Раздел godrejenterprises.com/aerospace и отраслевые публикации 2026 г.: «the only private company in India with demonstrated capability to manufacture all modules of an aero-engine, covering the fan, compressor, combustor and turbine»; сообщение об установке высокотемпературной печи вакуумной пайки для изготовления рабочих лопаток турбины индигенных двигателей; инвестиция 500 крор рупий в новый завод в Khalapur (100 акров, пуск 2027). Листинг на IndiaMART: «Godrej, Mumbai — производит выхлопные корпуса для газовых турбин». Адрес: LBS Marg, Pirojshanagar, Vikhroli West, Mumbai 400079."
Haynes International, Inc.;США;Kokomo, Indiana;завод (металлургический комбинат спецсплавов);Первоисточник марок HASTELLOY X (N06002) и HAYNES 230 (N06230) — именно тех листовых сплавов, из которых сваривают жаровые трубы (combustion liner), обечайки камеры сгорания и transition piece линейки SGT-100/200/300/400 (Typhoon/Tornado/Cyclone) и SGT-600. Поставляет лист и плиту (Sheet and Plate), фольгу, пруток, а также сварочные материалы (TIG/MIG, электроды) под те же марки — то есть закрывает и основной металл, и присадку для сварного узла. Рынки прямо включают промышленные ГТУ.;https://haynesintl.com;;"+1 765-456-6012; +1 800-354-0806 (sales)";;high;"На haynesintl.com в портфеле сплавов указаны HASTELLOY X и HAYNES 230; формы поставки перечислены как «Sheet and Plate», «Wire and welding products (TIG, MIG, thermal spray, coated electrodes)», «Bar and Billet». Раздел Markets: компания обслуживает «aerospace, chemical processing, and industrial gas turbines for power generation». Адрес с страницы Locations and Directions: «1020 W. Park Avenue, P.O. Box 9013, Kokomo, Indiana, 46904-9013», завод — «2000 W. Defenbaugh Street, Kokomo, Indiana, 46902»."
Indestructible Paint Ltd;Великобритания;Birmingham (Sparkhill);производитель материалов покрытий для ГТУ;Британский производитель высокотемпературных покрытий, у которого 'gas turbines & power generation' указан ключевым сектором. Специализация — алюминиево-керамические (типа SermeTel) и высокотемпературные / термобарьерные лакокрасочные системы, сухие плёночные смазки, вспучивающиеся составы. Для камеры сгорания и DLE-горелок SGT-400 интересны как поставщик самих материалов покрытий (в том числе если решать задачу через российский или местный цех нанесения), а также как источник консультации по спецификациям OEM. Наличие собственного участка нанесения на детали заказчика по открытым страницам НЕ подтверждено — уточнять запросом.;https://www.indestructible.co.uk/;sales@indestructible.co.uk;+44 121 702 2485;;med;"На главной странице сайта 'gas turbines & power generation' указан как ключевой обслуживаемый сектор; упоминаются разработки 'advanced Dry Film Lubricants and Intumescent Paint systems' и 'high-temperature and thermal barrier applications'. Контакты в футере: 16-25 Pentos Drive, Sparkhill, Birmingham, B11 3TA, United Kingdom; тел. +44 (0)121 702 2485; e-mail sales@indestructible.co.uk. Оговорка: конкретные марки покрытий под камеры сгорания и услуга нанесения на детали заказчика на открытых страницах не детализированы."
Industrial Marine Power (IMP);США;Нью-Йорк, NY 10012;бесплатная объявочная площадка (eBay-подобная) по ГТУ, судовым и энергетическим агрегатам;"Живая доска объявлений, где реально ходят запросы и предложения ровно по нашей теме: заявка на 17 позиций ЗИП Siemens SGT-400, включая burner assemblies (горелочные сборки), combustion chambers (камеры сгорания), spray gun assemblies, ignition devices; отдельное объявление продавца «We have core engine TB5000 (2 sets), Tornado (2 sets) and new spare parts at our stock for sale»; объявления «Siemens gas turbines SGT400 for sale» и «SGT-300/400/600/700, SGT5-2000E 50 Hz available unused low hours». Контакты подателей открываются после регистрации — дешёвый канал выхода на владельцев складов.";https://www.industrialmarinepower.com;;+1 954 933 8501;"не найдено (контакты авторов объявлений — после регистрации; напр. по TB5000/Tornado отвечает Monzur Morshed Chowdhury)";med;Страница industrialmarinepower.com/siemens-sgt-400-gas-turbines-spare-part-requiremnets-21050/ — перечень из 17 позиций ЗИП SGT-400 (spray gun assemblies, burner assemblies, combustion chambers, valves, ignition devices), «To see the contact details please Login or Register». Страница industrialmarinepower.com/wanted-spare-parts-for-ruston-gas-turbine-model-tb5000-15902/ — ответ продавца о наличии на складе core engine TB5000 (2 компл.) и Tornado (2 компл.). Реквизиты портала в футере: New York, NY 10012, US, [+1] 954 933 85 01.
J. F. Mullen Co., Inc. (James F. Mullen Company);США;Merrimac, Massachusetts;завод / контрактный производитель листовых деталей горячей части (formed sheet metal, tool & die, сварка);Профильный контрактный изготовитель именно тех типов деталей, что нужны по SGT-400: на сайте отдельные разделы каталога «COMBUSTION LINERS» (жаровые трубы / камеры сгорания) и «TRANSITIONS» (переходные патрубки, transition pieces) с фотогалереями реальных изделий. Также делают завихрители (swirlers) и кожухи охлаждения топливных линий. Компетенции: draw forming (вытяжка), листовая штамповка, сварочные сборки, инструментальное производство (tool & die), механообработка, контроль/инжиниринг. Производственная площадь ~87 700 кв. футов (~8150 м2). Идеальный кандидат под изготовление корпуса камеры MW21215M по чертежу/образцу (реверс-инжиниринг), а не под готовый каталожный номер Siemens.;https://www.jfmullen.com;"rich@jfmullen.net (продажи); john@jfmullen.net (производство); B.Payne@jfmullen.net (качество)";"+1 978-346-0045; моб. +1 (508) 789-9791";"Richard Marcellino — Sales Manager; John Mullen — Operations Manager; Bob Payne — Quality Manager";high;Сайт jfmullen.com, шапка: «51 East Main St Merrimac, Massachusetts / 978-346-0045», меню «Parts Page» содержит пункты COMBUSTION LINERS, TRANSITIONS, Core Plugs, Gas Turbine Parts. Страница /contact/ отдаёт таблицу персоналий: John Mullen (Operations Manager), Richard Marcellino (Sales Manager), Bob Payne (Quality Manager), Travis Briggs (Laseredge Technologies) с почтами @jfmullen.net. Слоган сайта: «SHEET METAL FABRICATION, METAL FORMING, METAL STAMPING, GAS TURBINE PARTS & REPAIR». Описание из каталога: «manufactures combustion liners, swirlers, transition pieces, fuel line cooling shrouds and other duct work for gas turbine applications». Модели ГТУ на сайте не указаны — работают по чертежу заказчика.
KAFOU Technical Services Co. Ltd (KTS);Саудовская Аравия;Аль-Хобар (мастерская — Khudariah, Даммам);независимый сервис MRO с собственной мастерской;"Единственный найденный саудовский независимый сервис с собственной мастерской (500 м², Khudariah, Даммам), который прямо заявляет инспекцию горячего и холодного газового тракта и ремонт/замену деталей камеры сгорания («combustion parts»), а также ремонт роторов, лопаток, диафрагм компрессора, полный overhaul flange-to-flange, вибродиагностику и балансировку. Ограничение: заявленный парк OEM — FiatAvio, Westinghouse, GE, MHI; Siemens SGT/Ruston не назван, поэтому по SGT-400 нужен отдельный запрос капабилити.";https://www.ktsco.com.sa/;info@ktsco.com.sa;+966 13 882 5067;;low;"На ktsco.com.sa: «Inspection of hot and cold gas path, bearings and other major components», ремонт «rotors, blades, vents, combustion parts», работа с диафрагмами компрессора и генераторами; «KTS possess its own facility of 500 square meters workshop in Khudariah Dammam» с участками металлоконструкций, трубной обвязки, механообработки и ремонта вспомогательного оборудования ГТУ. Перечень OEM: «FiatAvio, Westinghouse, GE and MHI gas turbines, steam turbines, compressors and generators» — Siemens SGT и Ruston отсутствуют, конкретные модели не указаны. Адрес: P.O. Box 79553, Al-Khobar 31952; факс +966 13 882 4960."
Kitmondo (группа Exapro);Чехия;Прага;маркетплейс б-у промышленного оборудования (посредник/брокер);Международная площадка б/у оборудования с реальными лотами по линейке SGT: на момент проверки размещено «SIEMENS SGT400 gas turbine, Low working hours, Turkey 2014 — Double Shaft, Power 12.9 MW, main engine replaced, ~200 hours», а также Siemens SGT-600 DLE (Турция, 2010) и SGT-600 24,5 МВт (Китай, 2011, с описанием «18 DLE burners, annular combustion chamber»). Канал для покупки донорского SGT-400 или целого пакета через посредника с европейской юрисдикцией.;https://www.kitmondo.com;не найдено (только форма обратной связи на /contact-kitmondo/);;Thomas Bordier (CEO);med;Раздел kitmondo.com/used-gas-turbine/ содержит карточку «SIEMENS SGT400 gas turbine, Low working hours, Turkey, 2014... Double Shaft Power: 12.9 MW... Main engine operating hours: Approximately 200 hours». Страница kitmondo.com/about-us/: «Since 2006, Kitmondo has connected sellers and buyers of used industrial machinery», «In 2018, the Exapro group... move its headquarters from Newcastle to Prague», CEO — Thomas Bordier. Прямых email/телефона на сайте нет.
Laujir India LLP;Индия;Bengaluru, Karnataka;трейдер / мелкосерийный поставщик ЗИП, реверс-инжиниринг;"Заявляет поставку деталей камеры сгорания (combustion system parts), лопаток компрессора и турбины, СОПЛОВЫХ АППАРАТОВ и направляющих лопаток (nozzles and guide vanes), уплотнений и подшипников; отдельно — услуги реверс-инжиниринга и восстановления оборудования для электростанций. Возможный канал для мелких позиций линейки SGT, но подтверждения работы именно по Siemens/Ruston нет, описание общее и каталожного уровня.";https://www.laujirindia.in;не найдено (только онлайн-форма запроса);+91 8088144983 (WhatsApp);;low;"Сайт laujirindia.in/gas-turbine-spare-parts.htm: перечень «Combustion system parts; Compressor and turbine blades; Nozzles and guide vanes; Bearings and seals; Control system components», услуги «reverse engineering, refurbishment, maintenance, EPC». Юр. подтверждение — GST 29AAKFL2846H1ZZ, форма LLP, Бенгалуру. Конкретных марок ГТУ и фотографий производства нет — отсюда low."
Liburdi Turbine Services (Liburdi Engineering Limited);Канада;Dundas, Ontario;независимый сервис MRO + собственный цех покрытий;Прямое попадание в линейку SGT-400. На странице поддерживаемых двигателей Ruston перечислены Cyclone, Tornado, Typhoon, TA2500/1750, TB4000, TB5000, TB5400 — это ровно предшественники SGT-400/SGT-100/SGT-200. Заявлены 'hot section and combustion component repairs'. Ремонтируют blades, vanes, nozzles, combustors и transitions. Покрытия: TBC (термобарьерные), связующие MCrAlY составов NiCrAlY / NiCoCrAlY / CoNiCrAlY / CoCrAlY, APS (воздушно-плазменное), HVOF, диффузионное алитирование LSR (aluminide с добавками Si и Cr), RIC (реактивное ионное покрытие). Плюс собственный процесс пайки-восстановления LPM (Liburdi Powder Metallurgy) для трещин в жаровых трубах и сопловых аппаратах. По Siemens поддерживают SGT-600, SGT-A20/A35/A65, V84.2, V84.3A1, W501-серию.;https://www.liburditurbineservices.com/;info@liburditurbineservices.com;"+1 905 689 0734; 1-800-991-2100";;high;Страница /supported-gas-turbine-models/ruston-gas-turbines перечисляет модели Cyclone, TA2500/1750, TB4000, TB5000, TB5400, Tornado, Typhoon и указывает 'hot section and combustion component repairs'. Страница /gas-turbine-advanced-coating-technology: 'Thermal Barrier Coatings (TBC)' с составами 'NiCrAlY, NiCoCrAlY, CoNiCrAlY, and CoCrAlY', 'APS (Air Plasma Spray)', 'HVOF', 'LSR Aluminide Coatings', обслуживаются 'gas turbine hot-section components' включая blades, vanes, combustors, transitions. Контакты со страницы /contact: info@liburditurbineservices.com, 1-800-991-2100. Корпоративный адрес с liburdi.com/contact-liburdi-corporate-offices: Liburdi Engineering Limited, 400 Highway 6 North, Dundas, Ontario, Canada, L9H 7K4, tel +1-905-689-0734.
Liburdi Turbine Services Inc. (Liburdi Group);Канада;Dundas, Ontario (+ ремонтный завод Davidson, North Carolina, США);независимый сервис MRO / ремонт горячей части + собственные технологии сварки и покрытий;Единственная найденная в Северной Америке компания, которая ЯВНО декларирует поддержку линейки Ruston/Siemens, к которой относится SGT-400: на странице «Supported Gas Turbine Models → Ruston» перечислены Cyclone (= SGT-400), Typhoon (= SGT-100), Tornado (= SGT-200), TA2500/1750, TB4000, TB5000, TB5400. Ремонтируют лопатки, сопловые аппараты (vanes/nozzles), бандажи, уплотнения и КАМЕРЫ СГОРАНИЯ (combustion parts). Профильные технологии: LPM (Liburdi Powder Metallurgy) — пайка/наплавка трещин на жаровых трубах и NGV, автоматическая лазерная/плазменная/GTAW сварка, нанесение покрытий. Прямой кандидат по камере сгорания MW21215M и элементам горелки DUAL DLE MW22316B/01.;https://www.liburditurbineservices.com;info@liburditurbineservices.com;"+1-905-689-0734; toll free 1-800-991-2100";;high;Страница https://www.liburditurbineservices.com/supported-gas-turbine-models/ruston-gas-turbines прямо перечисляет поддерживаемые модели Ruston: Cyclone, TA2500/1750, TB4000, TB5000, TB5400, Tornado, Typhoon. На главной и в разделе About: «repairs critical hot section components including blades, vanes, nozzles, shrouds, seals, and combustion parts», опыт с 1979 г., два ремонтных завода — Dundas (ON, Канада) и Davidson (NC, США). Юр. адрес корпоративного офиса с сайта liburdi.com: Liburdi Engineering Limited, 400 Highway 6 North, Dundas, Ontario, Canada, L9H 7K4, тел. 1-905-689-0734. ВНИМАНИЕ: компания зарегистрирована в канадской Controlled Goods Program (экспортный контроль) — возможны ограничения по поставкам в РФ.
Lincotek Rubbiano S.p.A. (бывш. Turbocoating S.p.A.);Италия;Rubbiano di Solignano (Parma);покрытия / спецпроцессы (surface solutions);Ключевой европейский узел по покрытиям горячей части промышленных ГТУ: MCrAlY методами VPS/LPPS/HVOF, YSZ/TBC методом APS, CVD-алитирование, лазерная перфорация охлаждающих отверстий, химическое снятие покрытий (stripping) и постпокрытийная обработка. Это именно то, что нужно для локализации камеры сгорания, жаровой трубы, transition piece и лопаток SGT-400 — сам металл может делать другой завод, а покрытие и перфорация закрываются здесь. Работают как подрядчик OEM наземных ГТУ и авиадвигателей с 1973 г.;https://www.turbocoating.com / https://lincoteksurfacesolutions.com;"sales.surfacesolutions.EMEA@lincotek.com; surfacesolutions.EMEA@lincotek.com";+39 0525 305811 (факс +39 0525 305812);;high;"Страница контактов turbocoating.com/group/contacts/: «Surface Solutions Rubbiano, Parma | Italy — Lincotek Rubbiano S.p.A., Via Mistrali 7, 43046 Rubbiano di Solignano PR, Italy, t. +39 0525 305811, sales.surfacesolutions.EMEA@lincotek.com, VAT IT 02087600348». Профиль компании: «core business to develop special processes and manufacture protective coatings for components in industrial gas turbines and jet engines»; продукты — «thermal sprayed MCrAlY coatings by VPS/LPPS/HVOF and YSZ coatings by APS, Chemical Vapour Deposition, Laser Drilling equipment, Chemical stripping». Есть также площадки в Tarbes (Франция) и Spreitenbach (Швейцария)."
Lincotek Surface Solutions (бывш. Turbocoating S.p.A.);Италия;"Rubbiano di Solignano (Parma); также Tarbes (Франция), Hickory NC (США)";покрытия — независимый цех покрытий по кооперации;Классический европейский подрядчик по покрытиям горячей части ГТУ, тот самый Turbocoating из Пармы (домен turbocoating.com редиректит на lincotek.com). Полный набор под камеру сгорания SGT-400: APS с YSZ (термобарьерное покрытие), LPPS MCrAlY (связующий слой), HVOF MCrAlY и износостойкие, SPS (суспензионное плазменное), CVD и pack-алитирование для внутренних полостей и наружных поверхностей, плюс стриппинг (химическое снятие старых покрытий) — критично для ремонта б/у жаровых труб и горелок. Прямо заявляют покрытие 'IGT/Aero turbine blades and vanes' и 'combustors'. Принимают детали заказчика в работу (job coating).;https://www.lincotek.com/surface-treatments/;sales.surfacesolutions.EMEA@lincotek.com;+39 0525 305808;;high;"Страница /surface-treatments/ перечисляет: 'CVD/Pack aluminizing' для сложных внутренних полостей, 'LPPS — MCrAlY overlay/bond coating', 'HVOF — MCrAlY overlay and hard-facing', 'APS — Yttria Stabilized Zirconia thermal barrier coatings (TBC)', 'SPS — Suspension Plasma Spray', 'Diffusion coatings — CVD and pack technology', 'Stripping services'. Применение: 'IGT/Aero turbine blades and vanes' и 'combustors'. Адрес: Via Mistrali 7, 43046 Rubbiano di Solignano, Parma, Italy, t. +39 0525-305808. Со страницы /group/contacts/: почта дивизиона surfacesolutions.EMEA@lincotek.com и sales.surfacesolutions.EMEA@lincotek.com; площадки Tarbes (4 rue Pierre Corneille, 65430 Soues, France, +33 5 62366815) и Hickory NC (Turbocoating Corp. D/B/A Lincotek Surface Solutions, 1928 Main Avenue SE, Hickory NC 28602, +1 828 328 8726)."
Linde Advanced Material Technologies (бывш. Praxair Surface Technologies / Sermatech);Германия / Италия / Франция / Индия / Сингапур / Ю. Корея / Великобритания / США;"Ratingen и Schlüchtern (Германия); Fornovo di Taro (Parma), Mantova, Monte Marenzo, Novara (Италия); Saint Etienne (Франция); Coimbatore (Индия); Singapore; Changwon (Ю. Корея); Lincoln (UK)";покрытия — глобальная сеть цехов покрытий (Global Coating Services);"Крупнейшая мировая сеть подрядных покрытий для ГТУ, наследник Praxair Surface Technologies и бренда Sermatech (алюминиево-керамические покрытия SermeTel). Под камеру сгорания и горелки SGT-400: термическое напыление (HVOF/HP-HVOF, плазма APS, D-GUN, дуговое), металло-диффузионные покрытия ('protecting high-temperature parts from corrosion and oxidation ... diffusing a metal'), суспензионное плазменное напыление SPS, HVAF-плакирование, а через СП PG Technologies — EB-PVD термобарьерные покрытия и платино-алюминидные покрытия, которые прямо позиционируются для 'marine and industrial engines'. Площадка Fornovo di Taro находится в 20 км от Пармы — том же кластере ГТУ-покрытий, что и Lincotek; площадка в Коимбаторе (Индия) даёт азиатский вариант по цене.";https://www.linde-amt.com/global-coating-services;не найдено (только форма на /contact-us);;;high;"Раздел /global-coating-services/coating-applications: 'Thermal Spray Coating — ... D-GUN, HP/HVOF, wire arc and plasma spray'; 'Vapor Deposition'; 'Metal Diffusion — Protecting high-temperature parts from corrosion and oxidation, providing a protective barrier by diffusing a metal'. Раздел /about-us/pg-technologies/services-and-capabilities: 'Electron Beam Physical Vapor Deposition (EBPVD) delivers premium thermal barrier coatings'; 'Platinum aluminide (PtAl) is engineered for extreme environments, e.g. high- and low-pressure turbine airfoils in marine and industrial engines'; 'Aluminide Coatings ... ideal for turbine blades, vanes'; 'Suspension Plasma Spray'; 'Cladding ... HVAF'. Страница /about-us/locations, блок 'Global Coating Services': Linde AMT GmbH, Robert-Zapp-Strasse 7, 40880 Ratingen, Germany (EN 9100:2018, EASA Part 145); Linde AMT Schluechtern GmbH, Breitenbacher Strasse 40, 36381 Schlüchtern; Linde AMT Italy Srl, Via G. Di Vittorio 69, 43045 Fornovo di Taro (Parma); Novara, Mantova, Monte Marenzo (Италия); Linde AMT St. Etienne S.A.S, Z.I. Molina la Chazotte, F-42043 Saint Etienne; Индия — SF No 206/1, Kannampalayam Village, Sulur, Coimbatore 641402; Linde AMT Singapore Pte Ltd, 44 Changi South Street 1; SERMATECH KOREA Ltd., 28 Seungju-Dong, Changwon City; Linde AMT UK Limited, Whisby Road, N. Hykeham, Lincoln LN6 3DL."
MD&A — Mechanical Dynamics & Analysis, LLC (MD&A Turbines);США;"Latham, New York (HQ); сервис-центры Houston и San Antonio, TX; также CO, MO, OH";независимый сервис MRO + производство деталей (OEM-alternative);Позиционируется как «full-service OEM-alternative» по газовым турбинам. Каталог комбустионных деталей включает end caps, combustion liners, flow sleeves, transition pieces. Отдельное направление — ремонт и рефабрикация ТОПЛИВНЫХ ФОРСУНОК (Fuel Nozzle Services, Houston Service Center), включая системы Dry Low NOx (DLN 1.0/2.0/2.6): диагностика, восстановление, калибровка, проливка/flow testing, ISO 9001:2015. Это ближайший к нашей задаче американский компетентный центр по горелочным узлам типа DUAL DLE MW22316B/01. Заявлена отдельная страница «Siemens Turbine Repair». Основной парк — GE и Siemens/Westinghouse тяжёлого класса, линейка SGT-400 не заявлена.;https://www.mdaturbines.com;Info@MDAturbines.com;"+1 (518) 399-3616; факс +1 (518) 399-3929";;med;Разделы mdaturbines.com/parts/gas-turbine/combustion-parts/ («end caps, liners, flow sleeves, and transition pieces»), /repairs/gas-turbine/fuel-nozzle-repair/ и /parts/gas-turbine/fuel-nozzles/ («MD&A Fuel Nozzle Services at their Houston Service Center services GE gas turbine frames including Dry Low NOx System (DLN) 1.0, 2.0 and 2.6», ISO 9001:2015). Есть отдельная страница mdaturbines.com/siemens-turbine-repair/. Контакты HQ: 25 British American Blvd, Latham, NY 12110, (518) 399-3616, Info@MDAturbines.com. Сайт сильно на JS — контакты подтверждены через справочники и страницу /contact/.
MSR Industrade Pvt. Ltd. (MSRI Trade);Индия;Ghaziabad / Noida, Uttar Pradesh;трейдер / интегратор с сетью европейских ремонтных цехов;Прямое попадание в линейку. Официально заявляет поставку ЗИП для SGT-100/200/300/400 (бывш. Ruston Typhoon, Tornado, Tempest, Cyclone). По SGT-400 конкретно перечисляет: комплекты пилотных горелок (Pilot Burner Kits), сердечники жидкого топлива (liquid fuel cores), ГЛАВНЫЕ ГАЗОВЫЕ ГОРЕЛКИ Main Gas Burners в исполнениях dual fuel и gas-only (это и есть аналог DUAL DLE MW22316B/01), блоки воспламенителей, новые рабочие лопатки компрессора ступеней 0–10, восстановленные сотовые уплотнения (honeycomb tip seal), корпуса фильтров из нержавейки. Также берётся собрать пакет из б/у SGT-100/SGT-400 с новыми или восстановленными деталями и провести монтаж и пусконаладку.;https://msritrade.com;"rvp@msritrade.com; venkateshprasad.raahul@gmail.com";"+91 120 4102955; +91 120 4125991; +91 9971889552";Rahul Venkatesh Prasad, директор;high;Собственный PDF-проспект компании (imimg.com, загружен 2025): «We, MSR Industrade Pvt Ltd, are committed and able to supply you with SGT 100, 200, 300 and 400 spares. The Siemens SGT 100 to SGT 400 series gas turbines, formerly the Ruston Typhoon, Tornado, Tempest & Cyclone, have a long track record... MSR has tied up with numerous companies in EU that can offer to refurbish parts and can also provide new parts for all SGT turbines (100 to 400)... Pilot Burner Kits... Refurbished Honey Comb Tip seal». Юр. адрес подтверждён в ZaubaCorp (CIN U51909UP2016PTC085756), корпоративный офис R-8/51, Raj Nagar, Ghaziabad-201002. Сайт msritrade.com подтверждает фразу про SGT 100/200/300/400 spares и даёт прямые контакты.
